Author,Category,Contents,Copyright Status,Credits,Downloads,EBook-No.,Illustrator,Language,LoC Class,LoC No.,Original Publication,Release Date,Subject,Title,file_urls,files
"Curtis, William, 1746-1799",Text,[1]—Iris Persica.   [2]—Rudbeckia purpurea.   [3]—Helleborus hyemalis.   [4]—Cyclamen Coum.   [5]—Erythronium Dens Canis.   [6]—Narcissus Minor.   [7]—Cynoglossum Omphalodes.   [8]—Helleborus Niger.   [9]—Iris pumila. [10]—Anemone Hepatica. [11]—Erica herbacea. [12]—Dodecatheon Meadia. [13]—Coronilla glauca. [14]—Primula villosa. [15]—Narcissus Jonquilla. [16]—Iris variegata. [17]—Cactus flagelliformis. [18]—Geranium Reichardi. [19]—Hemerocallis Flava. [20]—Geranium Peltatum. [21]—Iris Versicolor. [22]—Nigella damascena. [23]—Tropæolum majus. [24]—Agrostemma coronaria. [25]—Dianthus chinensis. [26]—Stapelia variegata. [27]—Convolvulus tricolor. [28]—Passiflora cœrulea. [29]—Reseda odorata. [30]—Lilium chalcedonicum. [31]—Jasminum officinale. [32]—Mesembryanthemum dolabriforme. [33]—Aster tenellus. [34]—Browallia elata. [35]—Crepis barbata. [36]—Lilium bulbiferum.,Public domain in the USA.,"Produced by Jason Isbell, Janet Blenkinship and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file made using scans of public domain works at the University of Georgia.)",121 downloads in the last 30 days.,17198,,English,QK: Science: Botany,,"LONDON: Printed by Couchman and Fry, Throgmorton-Street, For W. CURTIS, at his Botanic-Garden, Lambeth-Marsh; And Sold by the principal Booksellers in Great-Britain and Ireland. M DCC XC.","Dec 2, 2005",Botanical illustration -- Periodicals,"The Botanical Magazine, Vol. 01 Or, Flower-Garden Displayed",https://www.gutenberg.org/ebooks/17198.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/17198.txt.utf-8', 'path': '17198.txt', 'checksum': '18efe0d129040b34f315b0ef0c7ec461', 'status': 'downloaded'}]"
"Grandville, J. J., 1803-1847",Text,,Public domain in the USA.,Produced by Claudine Corbasson and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive/Canadian Libraries),129 downloads in the last 30 days.,54972,Maubert,French,"NC: Fine Arts: Drawing, Design, Illustration",,,"Jun 24, 2017",Flowers in art,Les fleurs animées - Tome 1,https://www.gutenberg.org/ebooks/54972.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/54972.txt.utf-8', 'path': '54972.txt', 'checksum': 'c4f89d754b74034bad26731808dc1393', 'status': 'downloaded'}]"
"Darwin, Erasmus, 1731-1802",Text,,Public domain in the USA.,,98 downloads in the last 30 days.,9612,,English,PR: Language and Literatures: English literature,,,"Jan 1, 2006",Portland Vase,"The Botanic Garden, a Poem in Two Parts. Part 1: the Economy of Vegetation",https://www.gutenberg.org/ebooks/9612.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/9612.txt.utf-8', 'path': '9612.txt', 'checksum': 'fdcab6bff2852bcdc778ec9ff9a606d3', 'status': 'downloaded'}]"
"Cooke, Arthur O. (Arthur Owens), 1867-1930",Text,,Public domain in the USA.,"Produced by Bryan Ness, David Garcia and the Online Distributed Proofreading Team.",129 downloads in the last 30 days.,13347,,English,QK: Science: Botany,,,"Sep 1, 2004",Wild flowers -- Great Britain,Wildflowers of the Farm,https://www.gutenberg.org/ebooks/13347.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/13347.txt.utf-8', 'path': '13347.txt', 'checksum': '89cf0d80bc3724c1918f8aa1359650a3', 'status': 'downloaded'}]"
"Phillip, Arthur, 1738-1814",Text,,Public domain in the USA.,Produced by Col Choat,84 downloads in the last 30 days.,15100,,English,DU: History: General and Eastern Hemisphere: History of Oceania (South Seas),,,"Feb 18, 2005",Norfolk Island,The Voyage of Governor Phillip to Botany Bay With an Account of the Establishment of the Colonies of Port Jackson and Norfolk Island (1789),https://www.gutenberg.org/ebooks/15100.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/15100.txt.utf-8', 'path': '15100.txt', 'checksum': '71c3f9f5d189e00a57dec62ced9f6327', 'status': 'downloaded'}]"
"Taylor, Norman, 1883-1967",Text,,Public domain in the USA.,"Produced by Juliet Sutherland, Chuck Greif and the Online Distributed Proofreading Team at http: //www.pgdp.net",93 downloads in the last 30 days.,49211,,English,QK: Science: Botany,,,"Jun 14, 2015",Botany -- Textbooks,Botany: The Science of Plant Life,https://www.gutenberg.org/ebooks/49211.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/49211.txt.utf-8', 'path': '49211.txt', 'checksum': '11824404e4adb660a83cccd8486a5c00', 'status': 'downloaded'}]"
"Cathrall, William",Text,,Public domain in the USA.,,98 downloads in the last 30 days.,63840,"Cruikshank, Robert, 1789-1856",English,"DA: History: General and Eastern Hemisphere: Great Britain, Ireland, Central Europe",02022905,,"Nov 22, 2020",Natural history -- England -- Shropshire,"The History of Oswestry Comprising the British, Saxon, Norman, and English eras; the topography of the borough; and its ecclesiastical and civic history; with notices of botany, geology, statistics, angling, and biography: to which are added sketches of the environs",https://www.gutenberg.org/ebooks/63840.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/63840.txt.utf-8', 'path': '63840.txt', 'checksum': '76aafdcb14d68954236df3edba40a384', 'status': 'downloaded'}]"
"Arber, Agnes Robertson, 1879-1960",Text,,Public domain in the USA.,"Produced by Chris Curnow, Turgut Dincer and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",151 downloads in the last 30 days.,46889,,English,QK: Science: Botany,agr13000223,,"Sep 18, 2014",Botany -- Europe -- History,"Herbals, Their Origin and Evolution: A Chapter in the History of Botany 1470-1670",https://www.gutenberg.org/ebooks/46889.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/46889.txt.utf-8', 'path': '46889.txt', 'checksum': '104675f5cf47c6a2abb60ae1eac57d86', 'status': 'downloaded'}]"
"Darwin, Francis, Sir, 1848-1925",Text,,Public domain in the USA.,Updated: 2022-08-28,100 downloads in the last 30 days.,5605,,English,QK: Science: Botany,,,"May 1, 2004",Geotropism,The Power of Movement in Plants,https://www.gutenberg.org/ebooks/5605.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/5605.txt.utf-8', 'path': '5605.txt', 'checksum': '98ce86a01b4d1bb2f45f242cdadd45ad', 'status': 'downloaded'}]"
"Ellacombe, Henry Nicholson, 1821-1916",Text,,Public domain in the USA.,"Produced by Irma Spehar, Michael Zeug, Lisa Reigel, and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive/Canadian Libraries)",159 downloads in the last 30 days.,28407,,English,PR: Language and Literatures: English literature,,,"Mar 25, 2009",Plants in literature,The plant-lore & garden-craft of Shakespeare,https://www.gutenberg.org/ebooks/28407.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/28407.txt.utf-8', 'path': '28407.txt', 'checksum': '1da60b3d087ebb15946df36cf329f775', 'status': 'downloaded'}]"
"Tilton, George Henry, 1845-",Text,,Public domain in the USA.,"Produced by Charles Aldarondo, Keren Vergon, Leonard D Johnson and PG Distributed Proofreaders",156 downloads in the last 30 days.,11365,,English,QK: Science: Botany,,,"Feb 1, 2004",Ferns -- Canada,The Fern Lover's Companion A Guide for the Northeastern States and Canada,https://www.gutenberg.org/ebooks/11365.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/11365.txt.utf-8', 'path': '11365.txt', 'checksum': '63ac00e7bdbb6855d69a0a173f9d36b3', 'status': 'downloaded'}]"
"Darwin, Charles, 1809-1882",Text,,Public domain in the USA.,,94 downloads in the last 30 days.,3332,,English,QH: Science: Natural history,,,"Jul 1, 2002","Plants, Cultivated",The Variation of Animals and Plants under Domestication,https://www.gutenberg.org/ebooks/3332.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/3332.txt.utf-8', 'path': '3332.txt', 'checksum': '736c6a1d58e60f37a57d632d0da59e92', 'status': 'downloaded'}]"
"Blanchan, Neltje, 1865-1918",Text,,Public domain in the USA.,Produced by Project Gutenberg Distributed Proofreaders,180 downloads in the last 30 days.,8866,,English,QK: Science: Botany,,,"Sep 1, 2005",Wild flowers -- North America,Wild Flowers Worth Knowing,https://www.gutenberg.org/ebooks/8866.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/8866.txt.utf-8', 'path': '8866.txt', 'checksum': 'b621b36ffbe90bfe170d4918069c545d', 'status': 'downloaded'}]"
"Strasburger, Eduard, 1844-1912",Text,,Public domain in the USA.,"Peter Becker, Reiner Ruf, and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",87 downloads in the last 30 days.,63371,,German,QK: Science: Botany,,,"Oct 4, 2020",Botany -- Textbooks,Lehrbuch der Botanik für Hochschulen,https://www.gutenberg.org/ebooks/63371.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/63371.txt.utf-8', 'path': '63371.txt', 'checksum': 'c3e7c9ebb44b79fa563aa01b565c3733', 'status': 'downloaded'}]"
"Fernie, William Thomas, 1830-",Text,,Public domain in the USA.,,169 downloads in the last 30 days.,19352,,English,QK: Science: Botany,,,"Sep 22, 2006","Botany, Medical",Herbal Simples Approved for Modern Uses of Cure,https://www.gutenberg.org/ebooks/19352.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/19352.txt.utf-8', 'path': '19352.txt', 'checksum': '05cae9eff4fbc2a15abf0ff82706d808', 'status': 'downloaded'}]"
"Tadulinga Mudaliyar, C.",Text,,Public domain in the USA.,"Produced by Suzanne Lybarger, John Hagerson, Juliet Sutherland, Leonard Johnson and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive/Million Book Project)",195 downloads in the last 30 days.,24063,,English,QK: Science: Botany,,,"Dec 28, 2007","Plants -- India, South",A Handbook of Some South Indian Grasses,https://www.gutenberg.org/ebooks/24063.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/24063.txt.utf-8', 'path': '24063.txt', 'checksum': 'e72b8b518ea74f4c7596b00d1a53e1db', 'status': 'downloaded'}]"
"Darwin, Erasmus, 1731-1802",Text,,Public domain in the USA.,,195 downloads in the last 30 days.,10671,,English,PR: Language and Literatures: English literature,,,"Jan 1, 2004",Plants -- Poetry,"The Botanic Garden. Part 2, Containing the Loves of the Plants. A Poem. With Philosophical Notes.",https://www.gutenberg.org/ebooks/10671.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/10671.txt.utf-8', 'path': '10671.txt', 'checksum': '75f8585286556556cd83204124346d81', 'status': 'downloaded'}]"
"Maeterlinck, Maurice, 1862-1949",Text,L'intelligence des fleurs -- Les parfums -- La mesure des heures -- L'inquiétude de notre morale -- Éloge de la boxe -- A propos du Roi Lear -- Les dieux de la guerre -- Le pardon des injures -- L'accident -- Notre devoir social -- L'immortalité.,Public domain in the USA.,"Laurent Vogel, Chuck Greif and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive/Canadian Libraries)",51 downloads in the last 30 days.,62114,,French,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",,,"May 14, 2020",Flowers,L'intelligence des fleurs,https://www.gutenberg.org/ebooks/62114.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/62114.txt.utf-8', 'path': '62114.txt', 'checksum': '14a2cfd1efbf4808ab707cb1692b38a6', 'status': 'downloaded'}]"
